Person ID,Array of movements,Initial Infection,Results
1,[(11, 12),
 (35, 26),
 (34, 27),
 (35, 26),
 (35, 25),
 (35, 26),
 (36, 27),
 (36, 27),
 (37, 26),
 (37, 27),
 (38, 27),
 (37, 26),
 (38, 26),
 (37, 25),
 (38, 26),
 (38, 25),
 (39, 24),
 (40, 24),
 (41, 25),
 (41, 24),
 (41, 25),
 (41, 26),
 (40, 25),
 (41, 25),
 (40, 25),
 (41, 25),
 (42, 24),
 (43, 25)],,
5,[(49, 12),
 (48, 12),
 (49, 13),
 (48, 13),
 (47, 13),
 (47, 13),
 (48, 13),
 (48, 12),
 (47, 12),
 (46, 11),
 (46, 11),
 (45, 11),
 (44, 12),
 (44, 13),
 (44, 13),
 (45, 12),
 (44, 13),
 (44, 12),
 (43, 11),
 (44, 11),
 (45, 12),
 (46, 12),
 (47, 12),
 (48, 13),
 (49, 14),
 (49, 14),
 (49, 13),
 (49, 13),
 (48, 12),
 (47, 11),
 (48, 10),
 (47, 10),
 (47, 10),
 (47, 10),
 (47, 10),
 (48, 9),
 (48, 9),
 (47, 9),
 (46, 9),
 (46, 8),
 (47, 9),
 (47, 9),
 (46, 9),
 (47, 8),
 (47, 8),
 (47, 9),
 (46, 10),
 (47, 10),
 (48, 10),
 (48, 9),
 (47, 8)],,
6,[(6, 3),
 (7, 4),
 (8, 5),
 (8, 5),
 (7, 4),
 (6, 4),
 (6, 5),
 (5, 6),
 (6, 6),
 (5, 5),
 (4, 5),
 (4, 4),
 (5, 3),
 (4, 3),
 (3, 4),
 (3, 4),
 (4, 4),
 (4, 3),
 (5, 2),
 (5, 3),
 (5, 4),
 (4, 3),
 (4, 3),
 (3, 4),
 (4, 5),
 (4, 5),
 (3, 6),
 (3, 5),
 (3, 4),
 (4, 5),
 (3, 6),
 (2, 7),
 (2, 6),
 (2, 5),
 (1, 5),
 (1, 6),
 (2, 6),
 (1, 5),
 (2, 4),
 (2, 4),
 (3, 5),
 (4, 4),
 (3, 3),
 (3, 2),
 (2, 1),
 (3, 0),
 (2, 0),
 (1, 0),
 (2, 0),
 (2, 0),
 (2, 0)],,
7,[(4, 30),
 (4, 30),
 (5, 31),
 (6, 32),
 (7, 31),
 (6, 31),
 (5, 31),
 (6, 30),
 (7, 30),
 (8, 30),
 (9, 29),
 (10, 29),
 (10, 28),
 (9, 28),
 (10, 27),
 (10, 28),
 (9, 29),
 (10, 29),
 (11, 29),
 (10, 30),
 (10, 31),
 (10, 32),
 (11, 32),
 (10, 32),
 (11, 32),
 (10, 33),
 (10, 34),
 (10, 33),
 (9, 33),
 (10, 32),
 (10, 33),
 (9, 32),
 (10, 32),
 (11, 31),
 (12, 31),
 (11, 32),
 (10, 32),
 (10, 31),
 (11, 32),
 (12, 32),
 (11, 32),
 (10, 31),
 (10, 31),
 (11, 30),
 (12, 29),
 (13, 29),
 (13, 30),
 (13, 31),
 (12, 32),
 (12, 32),
 (13, 31)],,
8,[(39, 46),
 (39, 46),
 (40, 47),
 (40, 48),
 (39, 47),
 (40, 47),
 (40, 46),
 (39, 45),
 (39, 44),
 (38, 45),
 (37, 44),
 (36, 45),
 (37, 46),
 (38, 46),
 (38, 47),
 (37, 47),
 (38, 47),
 (39, 47),
 (39, 46),
 (38, 45),
 (39, 45),
 (40, 45),
 (40, 46),
 (39, 45),
 (38, 45),
 (38, 44),
 (37, 44),
 (36, 44),
 (35, 44),
 (34, 44),
 (35, 44),
 (34, 43),
 (33, 42),
 (32, 42),
 (31, 41),
 (30, 40),
 (29, 40),
 (30, 40),
 (29, 39),
 (30, 39),
 (29, 40),
 (29, 39),
 (29, 39),
 (30, 40),
 (30, 39),
 (30, 40),
 (31, 41),
 (30, 42),
 (31, 41),
 (31, 40),
 (31, 39)],,
9,[(35, 27),
 (35, 26),
 (35, 25),
 (35, 25),
 (35, 24),
 (35, 23),
 (36, 22),
 (35, 23),
 (36, 23),
 (36, 23),
 (35, 22),
 (35, 22),
 (34, 22),
 (34, 23),
 (33, 24),
 (32, 23),
 (32, 22),
 (31, 23),
 (32, 23),
 (33, 24),
 (34, 23),
 (33, 22),
 (34, 21),
 (33, 22),
 (33, 23),
 (33, 24),
 (34, 23),
 (33, 24),
 (33, 23),
 (34, 23),
 (35, 23),
 (36, 23),
 (37, 23),
 (38, 23),
 (38, 22),
 (38, 21),
 (37, 20),
 (37, 19),
 (37, 20),
 (36, 20),
 (36, 20),
 (37, 19),
 (38, 18),
 (38, 18),
 (39, 19),
 (38, 19),
 (39, 18),
 (39, 18),
 (39, 17),
 (38, 17),
 (39, 17)],,
10,[(12, 44),
 (13, 43),
 (13, 43),
 (12, 43),
 (13, 43),
 (12, 43),
 (13, 43),
 (14, 44),
 (14, 43),
 (15, 42),
 (15, 42),
 (16, 41),
 (17, 40),
 (16, 41),
 (17, 42),
 (17, 41),
 (16, 41),
 (17, 41),
 (16, 41),
 (17, 42),
 (17, 42),
 (16, 42),
 (15, 42),
 (14, 42),
 (13, 42),
 (12, 41),
 (13, 40),
 (12, 40),
 (12, 40),
 (12, 40),
 (12, 40),
 (11, 40),
 (10, 41),
 (9, 40),
 (8, 40),
 (9, 41),
 (10, 40),
 (9, 39),
 (8, 38),
 (7, 37),
 (6, 38),
 (7, 37),
 (6, 36),
 (6, 35),
 (6, 36),
 (7, 36),
 (7, 36),
 (6, 37),
 (5, 37),
 (6, 37),
 (6, 37)],,
11,[(10, 40),
 (9, 40),
 (10, 41),
 (9, 40),
 (9, 41),
 (8, 42),
 (7, 43),
 (8, 43),
 (8, 42),
 (9, 41),
 (10, 40),
 (10, 41),
 (10, 40),
 (10, 39),
 (10, 38),
 (10, 38),
 (10, 38),
 (9, 37),
 (10, 37),
 (10, 37),
 (11, 36),
 (10, 35),
 (11, 36),
 (11, 35),
 (11, 34),
 (11, 33),
 (10, 32),
 (10, 32),
 (9, 33),
 (10, 33),
 (10, 33),
 (11, 34),
 (10, 33),
 (9, 32),
 (10, 33),
 (11, 32),
 (11, 31),
 (12, 32),
 (11, 31),
 (10, 32),
 (11, 31),
 (10, 31),
 (9, 31),
 (10, 32),
 (11, 32),
 (10, 32),
 (11, 31),
 (10, 32),
 (11, 31),
 (11, 31),
 (12, 31)],,
12,[(48, 27),
 (47, 27),
 (46, 26),
 (46, 27),
 (47, 27),
 (46, 27),
 (46, 27),
 (47, 28),
 (46, 28),
 (45, 27),
 (46, 26),
 (45, 27),
 (45, 28),
 (45, 27),
 (45, 27),
 (46, 28),
 (47, 27),
 (46, 26),
 (46, 25),
 (47, 25),
 (46, 24),
 (46, 23),
 (46, 23),
 (45, 23),
 (46, 24),
 (46, 24),
 (45, 24),
 (44, 23),
 (43, 23),
 (44, 22),
 (44, 21),
 (43, 21),
 (43, 22),
 (42, 21),
 (41, 21),
 (41, 21),
 (42, 20),
 (41, 20),
 (40, 20),
 (40, 20),
 (39, 19),
 (40, 20),
 (41, 20),
 (42, 21),
 (43, 20),
 (43, 20),
 (42, 19),
 (41, 20),
 (42, 20),
 (42, 20),
 (41, 21)],,
13,[(28, 42),
 (28, 41),
 (28, 41),
 (27, 40),
 (28, 40),
 (28, 40),
 (29, 40),
 (29, 39),
 (28, 38),
 (28, 39),
 (28, 38),
 (28, 38),
 (28, 39),
 (28, 39),
 (27, 39),
 (26, 39),
 (25, 38),
 (26, 38),
 (27, 39),
 (27, 38),
 (26, 38),
 (25, 38),
 (26, 38),
 (26, 37),
 (25, 38),
 (25, 39),
 (25, 39),
 (25, 40),
 (24, 39),
 (25, 39),
 (26, 38),
 (26, 38),
 (26, 37),
 (25, 37),
 (25, 38),
 (24, 37),
 (25, 37),
 (26, 37),
 (26, 38),
 (27, 39),
 (28, 38),
 (28, 38),
 (28, 38),
 (29, 39),
 (29, 38),
 (29, 39),
 (28, 40),
 (28, 41),
 (29, 42),
 (28, 41),
 (29, 42)],,
14,[(42, 22),
 (43, 23),
 (43, 24),
 (43, 25),
 (42, 26),
 (42, 25),
 (41, 26),
 (42, 27),
 (43, 27),
 (43, 26),
 (42, 25),
 (41, 24),
 (40, 25),
 (41, 26),
 (41, 27),
 (40, 27),
 (39, 27),
 (38, 28),
 (38, 28),
 (38, 27),
 (37, 26),
 (36, 25),
 (37, 24),
 (37, 24),
 (38, 25),
 (38, 25),
 (39, 24),
 (38, 23),
 (39, 22),
 (39, 22),
 (39, 21),
 (38, 20),
 (39, 21),
 (38, 20),
 (39, 21),
 (39, 20),
 (38, 19),
 (38, 18),
 (38, 19),
 (37, 19),
 (38, 18),
 (37, 19),
 (37, 19),
 (38, 18),
 (39, 17),
 (38, 17),
 (39, 18),
 (38, 17),
 (39, 18),
 (40, 19),
 (39, 20)],,
15,[(30, 41),
 (29, 40),
 (29, 41),
 (28, 40),
 (29, 41),
 (28, 42),
 (29, 43),
 (28, 43),
 (29, 42),
 (30, 41),
 (29, 41),
 (28, 42),
 (28, 41),
 (28, 40),
 (29, 40),
 (29, 40),
 (30, 40),
 (31, 39),
 (30, 40),
 (31, 39),
 (30, 39),
 (29, 40),
 (29, 40),
 (30, 40),
 (29, 39),
 (30, 39),
 (29, 38),
 (29, 37),
 (30, 38),
 (29, 38),
 (30, 37),
 (31, 37),
 (31, 37),
 (30, 38),
 (31, 39),
 (32, 39),
 (32, 39),
 (33, 38),
 (34, 39),
 (35, 38),
 (35, 39),
 (36, 40),
 (37, 39),
 (36, 40),
 (37, 39),
 (38, 38),
 (37, 39),
 (38, 40),
 (38, 40),
 (38, 40),
 (37, 40)],,
16,[(36, 25),
 (35, 25),
 (34, 25),
 (33, 25),
 (32, 24),
 (33, 24),
 (34, 24),
 (33, 24),
 (34, 25),
 (34, 25),
 (34, 26),
 (34, 25),
 (34, 26),
 (33, 27),
 (33, 28),
 (32, 29),
 (32, 29),
 (31, 28),
 (31, 27),
 (30, 27),
 (29, 28),
 (30, 27),
 (29, 28),
 (28, 28),
 (29, 29),
 (30, 28),
 (31, 29),
 (30, 28),
 (31, 27),
 (31, 28),
 (31, 27),
 (31, 28),
 (31, 27),
 (30, 28),
 (29, 28),
 (29, 27),
 (29, 26),
 (29, 26),
 (28, 26),
 (29, 27),
 (29, 28),
 (30, 27),
 (31, 27),
 (32, 28),
 (31, 27),
 (30, 27),
 (29, 26),
 (29, 27),
 (30, 27),
 (30, 28),
 (31, 29)],,
17,[(25, 27),
 (26, 26),
 (26, 25),
 (26, 25),
 (26, 26),
 (27, 27),
 (27, 28),
 (28, 28),
 (29, 28),
 (30, 29),
 (31, 30),
 (32, 30),
 (31, 29),
 (30, 28),
 (30, 27),
 (29, 28),
 (28, 27),
 (28, 26),
 (27, 26),
 (28, 26),
 (27, 27),
 (27, 28),
 (27, 29),
 (27, 29),
 (26, 30),
 (26, 30),
 (27, 30),
 (26, 29),
 (25, 30),
 (26, 31),
 (27, 30),
 (27, 30),
 (28, 31),
 (27, 31),
 (28, 30),
 (29, 31),
 (30, 31),
 (29, 30),
 (28, 31),
 (27, 30),
 (26, 29),
 (27, 29),
 (26, 28),
 (26, 29),
 (25, 28),
 (24, 29),
 (23, 30),
 (22, 31),
 (23, 30),
 (23, 30),
 (22, 30)],,
18,[(47, 30),
 (47, 29),
 (48, 30),
 (47, 29),
 (47, 30),
 (48, 31),
 (48, 31),
 (49, 30),
 (48, 29),
 (47, 29),
 (47, 30),
 (46, 30),
 (46, 31),
 (47, 30),
 (47, 31),
 (47, 31),
 (46, 31),
 (46, 32),
 (45, 32),
 (45, 33),
 (45, 33),
 (45, 34),
 (46, 33),
 (45, 32),
 (44, 32),
 (44, 32),
 (44, 31),
 (44, 32),
 (44, 31),
 (44, 32),
 (44, 32),
 (43, 32),
 (43, 31),
 (43, 32),
 (44, 31),
 (45, 32),
 (45, 33),
 (46, 34),
 (45, 35),
 (44, 35),
 (44, 34),
 (43, 35),
 (44, 35),
 (44, 34),
 (43, 34),
 (42, 35),
 (41, 34),
 (41, 33),
 (41, 34),
 (40, 34),
 (40, 35)][(47, 30),
 (47, 29),
 (48, 30),
 (47, 29),
 (47, 30),
 (48, 31),
 (48, 31),
 (49, 30),
 (48, 29),
 (47, 29),
 (47, 30),
 (46, 30),
 (46, 31),
 (47, 30),
 (47, 31),
 (47, 31),
 (46, 31),
 (46, 32),
 (45, 32),
 (45, 33),
 (45, 33),
 (45, 34),
 (46, 33),
 (45, 32),
 (44, 32),
 (44, 32),
 (44, 31),
 (44, 32),
 (44, 31),
 (44, 32),
 (44, 32),
 (43, 32),
 (43, 31),
 (43, 32),
 (44, 31),
 (45, 32),
 (45, 33),
 (46, 34),
 (45, 35),
 (44, 35),
 (44, 34),
 (43, 35),
 (44, 35),
 (44, 34),
 (43, 34),
 (42, 35),
 (41, 34),
 (41, 33),
 (41, 34),
 (40, 34),
 (40, 35)],,
19,[(33, 24),
 (34, 23),
 (34, 23),
 (33, 22),
 (34, 21),
 (35, 21),
 (36, 20),
 (35, 21),
 (35, 21),
 (35, 21),
 (34, 22),
 (35, 22),
 (36, 23),
 (35, 24),
 (35, 25),
 (36, 25),
 (36, 25),
 (37, 26),
 (38, 26),
 (37, 27),
 (37, 26),
 (36, 27),
 (36, 26),
 (35, 25),
 (36, 25),
 (36, 24),
 (36, 25),
 (36, 25),
 (37, 25),
 (38, 24),
 (39, 23),
 (40, 22),
 (41, 23),
 (41, 24),
 (40, 25),
 (40, 24),
 (39, 23),
 (40, 24),
 (39, 23),
 (38, 24),
 (37, 23),
 (38, 23),
 (37, 22),
 (37, 21),
 (37, 20),
 (37, 20),
 (37, 21),
 (38, 20),
 (37, 20),
 (36, 20),
 (37, 21)],,
20,[(31, 27),
 (31, 26),
 (31, 26),
 (32, 27),
 (32, 28),
 (32, 29),
 (33, 29),
 (33, 28),
 (33, 29),
 (33, 29),
 (33, 29),
 (34, 29),
 (33, 30),
 (33, 30),
 (32, 31),
 (33, 31),
 (33, 32),
 (32, 31),
 (31, 32),
 (32, 31),
 (32, 30),
 (33, 31),
 (32, 31),
 (32, 32),
 (33, 33),
 (32, 33),
 (31, 33),
 (32, 34),
 (33, 33),
 (34, 33),
 (33, 32),
 (32, 33),
 (32, 32),
 (32, 33),
 (31, 33),
 (31, 34),
 (31, 34),
 (32, 34),
 (31, 33),
 (32, 32),
 (32, 32),
 (33, 31),
 (32, 32),
 (31, 31),
 (32, 30),
 (31, 29),
 (32, 28),
 (31, 27),
 (31, 27),
 (30, 28),
 (29, 28)],,
21,[(31, 6),
 (30, 7),
 (31, 7),
 (31, 6),
 (32, 7),
 (31, 8),
 (31, 9),
 (31, 8),
 (31, 9),
 (31, 8),
 (30, 9),
 (29, 10),
 (28, 9),
 (29, 9),
 (28, 9),
 (28, 10),
 (27, 11),
 (28, 12),
 (28, 13),
 (28, 12),
 (29, 12),
 (29, 11),
 (28, 10),
 (28, 9),
 (28, 9),
 (29, 10),
 (28, 9),
 (27, 10),
 (27, 10),
 (26, 10),
 (27, 9),
 (27, 9),
 (27, 8),
 (26, 9),
 (27, 10),
 (27, 10),
 (27, 10),
 (26, 10),
 (27, 10),
 (28, 9),
 (28, 10),
 (28, 10),
 (29, 9),
 (29, 10),
 (30, 11),
 (29, 11),
 (30, 10),
 (31, 9),
 (31, 9),
 (32, 10),
 (33, 9)],,
22,[(0, 16),
 (0, 15),
 (0, 15),
 (0, 14),
 (1, 15),
 (1, 15),
 (0, 14),
 (1, 14),
 (1, 15),
 (1, 14),
 (1, 14),
 (0, 13),
 (0, 14),
 (0, 13),
 (0, 12),
 (0, 11),
 (0, 11),
 (0, 11),
 (0, 10),
 (0, 10),
 (0, 10),
 (1, 10),
 (2, 9),
 (3, 8),
 (4, 9),
 (3, 9),
 (3, 8),
 (3, 8),
 (4, 7),
 (3, 8),
 (2, 8),
 (1, 7),
 (1, 7),
 (0, 8),
 (0, 7),
 (0, 8),
 (0, 9),
 (0, 10),
 (0, 9),
 (0, 9),
 (0, 10),
 (0, 11),
 (0, 11),
 (1, 12),
 (2, 12),
 (1, 13),
 (2, 13),
 (3, 14),
 (3, 14),
 (3, 13),
 (4, 13)],,
23,[(19, 1),
 (18, 1),
 (17, 2),
 (16, 2),
 (15, 1),
 (14, 1),
 (15, 1),
 (14, 1),
 (14, 1),
 (14, 2),
 (15, 2),
 (14, 1),
 (15, 1),
 (14, 2),
 (15, 3),
 (14, 4),
 (15, 4),
 (14, 3),
 (13, 3),
 (12, 3),
 (13, 2),
 (13, 3),
 (14, 2),
 (14, 2),
 (14, 2),
 (14, 1),
 (15, 0),
 (16, 1),
 (17, 1),
 (18, 0),
 (19, 1),
 (18, 2),
 (18, 3),
 (17, 2),
 (18, 1),
 (19, 2),
 (19, 2),
 (20, 1),
 (21, 2),
 (20, 1),
 (19, 2),
 (18, 1),
 (19, 0),
 (18, 1),
 (18, 2),
 (18, 2),
 (19, 3),
 (18, 2),
 (18, 3),
 (18, 3),
 (19, 2)],,
24,[(31, 13),
 (32, 14),
 (31, 13),
 (30, 13),
 (31, 13),
 (31, 12),
 (32, 13),
 (31, 13),
 (30, 12),
 (30, 13),
 (30, 12),
 (29, 11),
 (29, 10),
 (29, 11),
 (28, 10),
 (27, 9),
 (28, 8),
 (27, 8),
 (28, 9),
 (29, 10),
 (30, 11),
 (31, 11),
 (30, 12),
 (30, 11),
 (30, 12),
 (29, 13),
 (28, 13),
 (28, 13),
 (27, 12),
 (28, 11),
 (29, 11),
 (28, 10),
 (28, 10),
 (29, 11),
 (28, 10),
 (29, 9),
 (30, 10),
 (31, 11),
 (32, 12),
 (33, 11),
 (32, 10),
 (33, 9),
 (33, 8),
 (32, 9),
 (32, 9),
 (32, 9),
 (31, 9),
 (31, 10),
 (32, 11),
 (32, 11),
 (33, 10)],,
25,[(15, 21),
 (14, 21),
 (14, 21),
 (15, 20),
 (15, 20),
 (15, 20),
 (15, 20),
 (15, 19),
 (15, 19),
 (15, 19),
 (16, 20),
 (17, 19),
 (18, 20),
 (19, 20),
 (19, 21),
 (19, 22),
 (19, 22),
 (20, 22),
 (19, 21),
 (20, 21),
 (20, 22),
 (19, 21),
 (18, 21),
 (17, 21),
 (16, 20),
 (15, 20),
 (16, 19),
 (17, 20),
 (17, 19),
 (18, 18),
 (19, 19),
 (19, 18),
 (18, 19),
 (18, 19),
 (19, 18),
 (19, 17),
 (18, 16),
 (19, 16),
 (19, 17),
 (19, 18),
 (18, 19),
 (19, 19),
 (20, 18),
 (21, 19),
 (21, 20),
 (22, 21),
 (22, 22),
 (22, 22),
 (23, 23),
 (24, 23),
 (23, 23)],,
26,[(6, 49),
 (5, 49),
 (6, 48),
 (5, 47),
 (6, 48),
 (5, 48),
 (6, 47),
 (5, 46),
 (6, 47),
 (7, 47),
 (6, 47),
 (6, 47),
 (6, 46),
 (6, 46),
 (5, 45),
 (4, 45),
 (5, 44),
 (6, 43),
 (5, 44),
 (4, 44),
 (3, 43),
 (2, 42),
 (2, 42),
 (3, 41),
 (4, 40),
 (3, 41),
 (3, 41),
 (2, 42),
 (2, 41),
 (2, 41),
 (2, 41),
 (1, 42),
 (2, 42),
 (2, 41),
 (3, 40),
 (3, 40),
 (4, 39),
 (5, 39),
 (6, 38),
 (5, 38),
 (4, 39),
 (4, 38),
 (3, 37),
 (2, 36),
 (2, 37),
 (2, 38),
 (2, 39),
 (2, 38),
 (2, 39),
 (3, 40),
 (2, 39)],,
27,[(3, 10),
 (2, 9),
 (3, 8),
 (2, 9),
 (3, 9),
 (2, 9),
 (1, 10),
 (2, 10),
 (2, 10),
 (3, 11),
 (3, 11),
 (4, 11),
 (5, 10),
 (4, 10),
 (5, 11),
 (6, 12),
 (7, 12),
 (7, 11),
 (7, 12),
 (8, 13),
 (8, 13),
 (8, 12),
 (7, 13),
 (6, 14),
 (7, 13),
 (7, 12),
 (8, 11),
 (8, 11),
 (7, 12),
 (6, 13),
 (6, 13),
 (7, 13),
 (8, 12),
 (9, 11),
 (8, 11),
 (8, 12),
 (8, 11),
 (7, 12),
 (7, 12),
 (6, 12),
 (5, 13),
 (4, 13),
 (4, 12),
 (4, 12),
 (4, 12),
 (5, 11),
 (4, 11),
 (3, 11),
 (4, 11),
 (3, 11),
 (4, 11)],,
28,[(8, 47),
 (9, 46),
 (8, 45),
 (7, 45),
 (7, 44),
 (8, 44),
 (7, 44),
 (8, 44),
 (7, 45),
 (7, 44),
 (8, 45),
 (9, 45),
 (10, 46),
 (9, 46),
 (10, 45),
 (10, 44),
 (9, 45),
 (9, 45),
 (10, 45),
 (11, 44),
 (11, 44),
 (12, 44),
 (13, 44),
 (12, 44),
 (11, 44),
 (10, 44),
 (11, 45),
 (11, 46),
 (12, 46),
 (13, 47),
 (12, 47),
 (12, 48),
 (12, 48),
 (12, 49),
 (12, 48),
 (13, 47),
 (13, 48),
 (14, 47),
 (15, 48),
 (14, 48),
 (14, 49),
 (14, 49),
 (14, 48),
 (14, 47),
 (15, 47),
 (14, 48),
 (13, 49),
 (14, 48),
 (13, 49),
 (12, 49),
 (12, 49)],,
29,[(38, 49),
 (39, 49),
 (40, 48),
 (40, 47),
 (40, 47),
 (39, 46),
 (39, 46),
 (38, 47),
 (39, 47),
 (39, 48),
 (39, 49),
 (39, 49),
 (40, 49),
 (40, 49),
 (41, 48),
 (41, 49),
 (42, 49),
 (42, 48),
 (43, 49),
 (43, 49),
 (42, 48),
 (43, 48),
 (43, 48),
 (44, 48),
 (44, 49),
 (43, 49),
 (42, 49),
 (43, 49),
 (43, 48),
 (44, 47),
 (43, 46),
 (43, 45),
 (42, 46),
 (41, 47),
 (42, 46),
 (41, 45),
 (41, 45),
 (41, 44),
 (40, 45),
 (40, 44),
 (39, 45),
 (40, 44),
 (41, 43),
 (41, 42),
 (40, 42),
 (41, 42),
 (40, 41),
 (40, 40),
 (39, 41),
 (38, 40),
 (37, 40)],,
30,[(48, 9),
 (47, 10),
 (48, 11),
 (49, 10),
 (48, 9),
 (47, 8),
 (48, 9),
 (48, 8),
 (49, 8),
 (48, 8),
 (47, 8),
 (47, 7),
 (47, 7),
 (47, 7),
 (47, 7),
 (48, 7),
 (48, 6),
 (47, 5),
 (47, 4),
 (47, 4),
 (48, 5),
 (47, 4),
 (48, 4),
 (49, 3),
 (48, 3),
 (49, 3),
 (48, 4),
 (47, 4),
 (46, 5),
 (46, 4),
 (45, 3),
 (46, 3),
 (45, 3),
 (46, 2),
 (47, 3),
 (46, 4),
 (46, 5),
 (45, 5),
 (46, 4),
 (46, 5),
 (47, 4),
 (46, 5),
 (46, 5),
 (46, 5),
 (46, 6),
 (47, 5),
 (48, 5),
 (49, 5),
 (49, 5),
 (48, 5),
 (48, 6)],,
31,[(17, 21),
 (17, 20),
 (17, 21),
 (18, 20),
 (18, 20),
 (17, 19),
 (18, 20),
 (19, 19),
 (18, 18),
 (18, 18),
 (17, 18),
 (18, 19),
 (19, 18),
 (18, 19),
 (18, 19),
 (19, 19),
 (19, 18),
 (18, 17),
 (19, 17),
 (18, 18),
 (17, 18),
 (18, 19),
 (17, 20),
 (18, 20),
 (19, 20),
 (20, 21),
 (19, 21),
 (19, 22),
 (20, 21),
 (20, 20),
 (19, 20),
 (20, 21),
 (19, 21),
 (19, 22),
 (18, 22),
 (18, 21),
 (19, 22),
 (18, 21),
 (17, 21),
 (16, 21),
 (16, 20),
 (15, 20),
 (15, 20),
 (15, 21),
 (14, 22),
 (15, 21),
 (15, 21),
 (14, 22),
 (15, 23),
 (15, 23),
 (16, 23)],,
32,[(0, 27),
 (1, 28),
 (0, 29),
 (0, 30),
 (0, 29),
 (0, 30),
 (0, 31),
 (0, 32),
 (0, 32),
 (1, 31),
 (2, 30),
 (2, 29),
 (3, 29),
 (2, 30),
 (2, 29),
 (3, 28),
 (2, 29),
 (3, 29),
 (4, 29),
 (3, 28),
 (2, 27),
 (1, 27),
 (2, 27),
 (2, 27),
 (3, 27),
 (3, 28),
 (3, 29),
 (3, 30),
 (2, 29),
 (2, 29),
 (3, 29),
 (4, 30),
 (5, 30),
 (5, 30),
 (4, 29),
 (5, 30),
 (4, 31),
 (4, 30),
 (4, 29),
 (3, 29),
 (3, 29),
 (4, 28),
 (4, 29),
 (4, 28),
 (3, 28),
 (2, 29),
 (2, 29),
 (1, 30),
 (2, 31),
 (1, 30),
 (1, 30)],,
33,[(48, 0),
 (49, 0),
 (49, 0),
 (48, 1),
 (47, 2),
 (48, 3),
 (47, 3),
 (47, 4),
 (47, 4),
 (48, 4),
 (49, 3),
 (49, 3),
 (48, 4),
 (47, 4),
 (48, 5),
 (48, 4),
 (47, 5),
 (48, 4),
 (49, 3),
 (49, 3),
 (49, 4),
 (49, 4),
 (49, 3),
 (49, 2),
 (49, 3),
 (48, 2),
 (47, 1),
 (46, 0),
 (46, 1),
 (47, 2),
 (46, 3),
 (47, 4),
 (48, 3),
 (49, 3),
 (48, 4),
 (47, 3),
 (48, 2),
 (48, 1),
 (49, 0),
 (48, 0),
 (48, 0),
 (48, 0),
 (48, 0),
 (47, 1),
